id,title,realtime_start,realtime_end,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
CAPUTLG327S,Capacity Utilization: Manufacturing: Durable Goods: Nonmetallic Mineral Product (NAICS = 327),2/4/2024,2/4/2024,1/1/1948,12/1/2023,Monthly,M,Percent of Capacity,% of Capacity,Seasonally Adjusted,SA,2024-01-17 08:29:08-06:00,11
CAPUTLG332S,Capacity Utilization: Manufacturing: Durable Goods: Fabricated Metal Product (NAICS = 332),2/4/2024,2/4/2024,1/1/1948,12/1/2023,Monthly,M,Percent of Capacity,% of Capacity,Seasonally Adjusted,SA,2024-01-17 08:27:54-06:00,5
CAPUTLG3361T3S,Capacity Utilization: Manufacturing: Durable Goods: Motor Vehicles and Parts (NAICS = 3361-3),2/4/2024,2/4/2024,1/1/1948,12/1/2023,Monthly,M,Percent of Capacity,% of Capacity,Seasonally Adjusted,SA,2024-01-17 08:27:20-06:00,13
CAPUTLG3364T9S,Capacity Utilization: Manufacturing: Durable Goods: Aerospace and Miscellaneous Transportation Equipment (NAICS = 3364-9),2/4/2024,2/4/2024,1/1/1948,12/1/2023,Monthly,M,Percent of Capacity,% of Capacity,Seasonally Adjusted,SA,2024-01-17 08:27:46-06:00,13
CE16OV,Employment Level,2/4/2024,2/4/2024,1/1/1948,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:49:04-06:00,69
CES0600000007,"Average Weekly Hours of Production and Nonsupervisory Employees, Goods-Producing",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Hours,Hours,Seasonally Adjusted,SA,2024-02-02 07:51:09-06:00,11
CES0600000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:08-06:00,13
CES0600000035,"Indexes of Aggregate Weekly Payrolls of Production and Nonsupervisory Employees, Goods-Producing",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Index 2002=100,Index 2002=100,Seasonally Adjusted,SA,2024-02-02 07:51:45-06:00,4
CES0800000001,"All Employees, Private Service-Providing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-02-02 07:51:08-06:00,20
CES1000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Mining and Logging",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2024-02-02 07:51:11-06:00,6
